left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y
-29.717482560497537,250.88346550058304,-29.883504928065786,240.27122462574513,-29.76650047302246,247.75021362304688
-28.07357680847552,250.8526946727622,-28.240255889692833,240.23398784537258,-28.1226806640625,247.7244110107422
-26.43907179938979,250.82265159718074,-26.605586529173962,240.19820108178922,-26.4880313873291,247.69879150390625
-24.821457145126235,250.79265548194246,-24.98541653264495,240.16255504469603,-24.86956214904785,247.673828125
-23.223417272187415,250.76422157595013,-23.383778318180024,240.1271460760365,-23.270370483398438,247.64971923828125
-21.644068999958687,250.73440081908245,-21.799564294171113,240.09365448032523,-21.689483642578125,247.62661743164062
-20.079203713149795,250.70643508890274,-20.229046218698308,240.05981397797387,-20.122859954833984,247.6045684814453
-18.523047841013707,250.67839760132372,-18.667661745530403,240.02625581942988,-18.565065383911133,247.5834197998047
-16.970436156464828,250.65033399582487,-17.11000577869709,239.99368590760565,-17.0108699798584,247.5630645751953
-15.417380677138283,250.62291571481268,-15.552493165018742,239.96113670590606,-15.456406593322754,247.54336547851562
-13.861859590842718,250.59385194121842,-13.99292725230991,239.92995209629794,-13.899587631225586,247.52423095703125
-12.303069930906418,250.5656319140321,-12.43154070816773,239.89827199818205,-12.339924812316895,247.5054473876953
-10.74177791735038,250.537358929022,-10.8686418447534,239.86710711223688,-10.778046607971191,247.48687744140625
-9.179307159857157,250.5087284222592,-9.305067115444984,239.83662997073364,-9.215133666992188,247.4684600830078
-7.617100312912501,250.4798823497347,-7.741744289002864,239.80699112394714,-7.652482509613037,247.45021057128906
-6.055796378745009,250.45105377706923,-6.1810746477925465,239.77810607717842,-6.091235160827637,247.431884765625
-4.496943251038942,250.4234265607538,-4.622206532695145,239.7495473578516,-4.5322651863098145,247.41358947753906
-2.9407633560253648,250.39460331453367,-3.0667612871910674,239.72245950605546,-2.976174831390381,247.3952178955078
-1.3878121779328545,250.36671377559912,-1.5145738434869478,239.69660595062263,-1.423332929611206,247.37677001953125
0.1617223591751337,250.33875658357093,0.034095354307959555,239.67261400594532,0.12605851888656616,247.3582305908203
1.7077706788112836,250.31063651952692,1.5790601885116948,239.64876471217386,1.6719038486480713,247.33956909179688
3.250143465153542,250.28188238182457,3.120668686225507,239.62511401708934,3.214168071746826,247.32083129882812
4.789069069503138,250.25483731146508,4.6583814945506585,239.60134031653692,4.752845764160156,247.3019561767578
6.324295484588315,250.2274765753016,6.192809175153816,239.57684731127137,6.287944793701172,247.2830047607422
7.855846552790822,250.20022026869242,7.723993942527406,239.55325458506462,7.819484710693359,247.2640380859375
12.516855818280801,250.11686361550593,12.386351789338272,239.47920966775982,12.481155395507812,247.20684814453125
14.090981223452726,250.08833084299437,13.96543683200575,239.45384418798358,14.056744575500488,247.18824768066406
15.66150934681867,250.06083405436001,15.538655473545141,239.4292573049935,15.628105163574219,247.1700897216797
17.228265683753595,250.03211765132409,17.107408580721405,239.40309501021963,17.195520401000977,247.1522674560547
18.791782134258323,250.0035238252025,18.67203111596685,239.37690399845863,18.75945281982422,247.1346435546875
20.352247163163398,249.97485011034524,20.231425048960524,239.3517371347826,20.31974220275879,247.1168975830078
21.908815152068428,249.9462386047448,21.786127579442724,239.32448128916596,21.875926971435547,247.0989227294922
23.460867012558662,249.91784244591915,23.338192359789378,239.29754539231752,23.428098678588867,247.08099365234375
25.009193876968688,249.88920935390482,24.886240713227654,239.27086949223872,24.976469039916992,247.0630645751953
26.5548876145619,249.86042376880965,26.42734567841318,239.2431475707701,26.521060943603516,247.0445098876953
28.09703862483417,249.8316112476963,27.96469365408307,239.21557886593365,28.062053680419922,247.02529907226562
29.634978329149355,249.80170111510165,29.500025645457953,239.18737229675514,29.599430084228516,247.00575256347656
31.168930757510566,249.77286696956634,31.03161919154163,239.1580359714431,31.13287925720215,246.9859161376953
32.69940696479876,249.74315190974812,32.55826342345948,239.1289696567088,32.662471771240234,246.965576171875
34.22642340986267,249.71311562476177,34.08038806931243,239.10024135004244,34.18832778930664,246.944580078125
35.74903531034771,249.68290581507813,35.60117023203414,239.07036851901572,35.71058654785156,246.92337036132812
37.267659298387414,249.65276929892286,37.11877579856379,239.03943410787787,37.22907257080078,246.90206909179688
38.78292481270123,249.62141512082135,38.631762662702776,239.00855468902532,38.7438850402832,246.8804931640625
40.29466083576721,249.59008840647994,40.14100246331568,238.97761505012954,40.25511169433594,246.85861206054688
41.80292584706996,249.55781681054896,41.64588612886699,238.94547116147487,41.76265335083008,246.8363037109375
43.307379448213126,249.52656731659127,43.14746653725366,238.91349200968975,43.266502380371094,246.8136444091797
44.80802746908142,249.49417740468687,44.645663043501344,238.8805746780206,44.76667022705078,246.7906951904297
46.454203127658424,249.45955996880758,46.290273622250666,238.8457640745583,46.41259002685547,246.76527404785156
48.09599692268591,249.4256378904796,47.93100911379791,238.80916083928682,48.054256439208984,246.73976135253906
49.733906584152344,249.39133107325506,49.56638121413806,238.7728893649235,49.69166564941406,246.71392822265625
51.36757785082398,249.35678720850785,51.19699979646305,238.73679005209726,51.32470703125,246.6876983642578
52.99613868435202,249.32256980770714,52.8256658343998,238.70008608201405,52.953433990478516,246.66156005859375
54.61998981934219,249.28749966729157,54.4512282616311,238.66290672089045,54.5778694152832,246.63575744628906
56.24006667449217,249.25335122647158,56.071133407741016,238.62699338860375,56.19804382324219,246.61000061035156
57.8561500660656,249.2199825584066,57.68614538952279,238.591930458303,57.813987731933594,246.5841522216797
59.46786129272792,249.18547606654673,59.29742651552443,238.55825398173374,59.42572784423828,246.5583038330078
